input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,repeat,"Relation: repeat
Input: Afghanistan
Output:",21139,87645,13454,Afghanistan,"tensor([ 1.2490,  1.2129,  2.4277,  ..., -2.6465, -2.6465, -2.6465],
       dtype=torch.float16)",21139,16.390625,11.0390625,14.03125,True,False,False
Albania,Tirana,repeat,"Relation: repeat
Input: Albania
Output:",95733,83655,13454,Albania,"tensor([ 1.4990,  1.3672,  2.4082,  ..., -2.8418, -2.8418, -2.8418],
       dtype=torch.float16)",95733,15.5625,9.234375,13.984375,True,False,False
Algeria,Algiers,repeat,"Relation: repeat
Input: Algeria
Output:",81341,82299,13454,Algeria,"tensor([ 1.4375,  0.9038,  2.6387,  ..., -2.8281, -2.8281, -2.8281],
       dtype=torch.float16)",81341,15.8046875,11.390625,13.9765625,True,False,False
Andorra,Andorra la Vella,repeat,"Relation: repeat
Input: Andorra
Output:",1628,1628,13454,And,"tensor([ 1.8398,  0.4746,  2.3359,  ..., -2.7227, -2.7227, -2.7227],
       dtype=torch.float16)",1628,16.375,16.375,13.234375,True,True,False
Angola,Luanda,repeat,"Relation: repeat
Input: Angola
Output:",98792,18866,13454,Angola,"tensor([ 2.2266,  0.6987,  2.5137,  ..., -2.4824, -2.4844, -2.4844],
       dtype=torch.float16)",98792,16.015625,9.5,13.9296875,True,False,False
Antigua and Barbuda,St. John's,repeat,"Relation: repeat
Input: Antigua and Barbuda
Output:",6898,800,13454,Ant,"tensor([ 2.2812,  1.2236,  3.1797,  ..., -2.6504, -2.6523, -2.6523],
       dtype=torch.float16)",6898,16.703125,13.625,14.078125,True,False,False
Argentina,Buenos Aires,repeat,"Relation: repeat
Input: Argentina
Output:",32164,69173,13454,Argentina,"tensor([ 1.6514,  1.2227,  2.3555,  ..., -2.3594, -2.3594, -2.3594],
       dtype=torch.float16)",32164,15.9375,11.2734375,14.3125,True,False,False
Armenia,Yerevan,repeat,"Relation: repeat
Input: Armenia
Output:",72630,816,13454,Armenia,"tensor([ 1.5996,  1.3340,  2.3789,  ..., -2.9023, -2.9023, -2.9023],
       dtype=torch.float16)",72630,15.578125,11.25,14.1328125,True,False,False
Australia,Canberra,repeat,"Relation: repeat
Input: Australia
Output:",8494,69890,13454,Australia,"tensor([ 1.9688,  1.1016,  2.2773,  ..., -2.3262, -2.3262, -2.3281],
       dtype=torch.float16)",8494,16.3125,10.4375,13.640625,True,False,False
Austria,Vienna,repeat,"Relation: repeat
Input: Austria
Output:",35998,47387,13454,Austria,"tensor([ 1.8926,  1.2432,  2.6641,  ..., -2.1270, -2.1270, -2.1270],
       dtype=torch.float16)",35998,16.265625,11.5,14.609375,True,False,False
Azerbaijan,Baku,repeat,"Relation: repeat
Input: Azerbaijan
Output:",74577,426,13454,Azerbaijan,"tensor([ 2.1211,  1.2686,  2.2617,  ..., -2.9336, -2.9336, -2.9336],
       dtype=torch.float16)",74577,16.25,12.71875,13.9140625,True,False,False
Bahamas,Nassau,repeat,"Relation: repeat
Input: Bahamas
Output:",84229,73002,13454,Bahamas,"tensor([ 1.8955,  1.1816,  2.0820,  ..., -2.2832, -2.2832, -2.2832],
       dtype=torch.float16)",84229,15.7890625,9.9921875,14.4609375,True,False,False
Bahrain,Manama,repeat,"Relation: repeat
Input: Bahrain
Output:",66739,2418,13454,Bahrain,"tensor([ 1.7900,  0.9463,  2.1738,  ..., -3.0742, -3.0742, -3.0742],
       dtype=torch.float16)",66739,15.6171875,10.7265625,14.4296875,True,False,False
Bangladesh,Dhaka,repeat,"Relation: repeat
Input: Bangladesh
Output:",39601,44327,13454,Bangladesh,"tensor([ 1.3682,  0.9683,  2.2422,  ..., -2.6953, -2.6953, -2.6953],
       dtype=torch.float16)",39601,16.125,12.234375,14.2734375,True,False,False
Barbados,Bridgetown,repeat,"Relation: repeat
Input: Barbados
Output:",47142,32437,13454,Barb,"tensor([ 1.8691,  1.0244,  2.3984,  ..., -2.7031, -2.7031, -2.7031],
       dtype=torch.float16)",47142,16.84375,8.6171875,14.2578125,True,False,False
Belarus,Minsk,repeat,"Relation: repeat
Input: Belarus
Output:",70606,386,13454,Belarus,"tensor([ 1.9209,  1.3145,  2.4512,  ..., -2.8926, -2.8945, -2.8926],
       dtype=torch.float16)",70606,15.875,11.4140625,14.5703125,True,False,False
Belgium,Brussels,repeat,"Relation: repeat
Input: Belgium
Output:",34061,38269,13454,Belgium,"tensor([ 1.6309,  1.0938,  2.5410,  ..., -2.2070, -2.2070, -2.2070],
       dtype=torch.float16)",34061,16.640625,11.9921875,14.359375,True,False,False
Belize,Belmopan,repeat,"Relation: repeat
Input: Belize
Output:",98104,7984,13454,Belize,"tensor([ 1.6855,  1.0156,  1.8916,  ..., -2.6172, -2.6172, -2.6172],
       dtype=torch.float16)",98104,15.7265625,11.8984375,14.0078125,True,False,False
Benin,Porto-Novo,repeat,"Relation: repeat
Input: Benin
Output:",7505,70798,13454,Ben,"tensor([ 1.7119,  0.6738,  1.8613,  ..., -2.7227, -2.7227, -2.7227],
       dtype=torch.float16)",7505,15.9765625,6.6953125,13.7890625,True,False,False
Bhutan,Thimphu,repeat,"Relation: repeat
Input: Bhutan
Output:",31930,666,13454,Bh,"tensor([ 1.2646,  0.7319,  1.7285,  ..., -2.9082, -2.9082, -2.9082],
       dtype=torch.float16)",31930,16.546875,10.890625,13.6875,True,False,False
Bolivia,La Paz,repeat,"Relation: repeat
Input: Bolivia
Output:",77710,5034,13454,Bolivia,"tensor([ 1.8643,  1.5664,  2.9199,  ..., -2.4590, -2.4590, -2.4590],
       dtype=torch.float16)",77710,15.78125,10.5,13.9140625,True,False,False
Bosnia and Herzegovina,Sarajevo,repeat,"Relation: repeat
Input: Bosnia and Herzegovina
Output:",77428,13951,13454,Bosnia,"tensor([ 1.7891,  1.1016,  2.5137,  ..., -2.7168, -2.7168, -2.7168],
       dtype=torch.float16)",77428,16.28125,11.640625,13.1328125,True,False,False
Botswana,Gaborone,repeat,"Relation: repeat
Input: Botswana
Output:",23869,480,13454,Bot,"tensor([ 3.1465,  0.9512,  2.4062,  ..., -2.5898, -2.5898, -2.5898],
       dtype=torch.float16)",23869,16.921875,12.0625,13.625,True,False,False
Brazil,Brasilia,repeat,"Relation: repeat
Input: Brazil
Output:",16327,62224,13454,Brazil,"tensor([ 1.8877,  1.1055,  2.3535,  ..., -2.3613, -2.3613, -2.3613],
       dtype=torch.float16)",16327,15.7265625,9.046875,14.34375,True,False,False
Brunei,Bandar Seri Begawan,repeat,"Relation: repeat
Input: Brunei
Output:",3320,17366,13454,Br,"tensor([ 1.8271,  0.9619,  1.9062,  ..., -2.9375, -2.9375, -2.9375],
       dtype=torch.float16)",3320,16.40625,9.828125,13.25,True,False,False
Bulgaria,Sofia,repeat,"Relation: repeat
Input: Bulgaria
Output:",59819,79663,13454,Bulgaria,"tensor([ 1.1182,  1.0781,  2.1289,  ..., -3.0352, -3.0352, -3.0352],
       dtype=torch.float16)",59819,16.078125,11.0234375,14.171875,True,False,False
Burkina Faso,Ouagadougou,repeat,"Relation: repeat
Input: Burkina Faso
Output:",71740,69327,13454,Burk,"tensor([ 2.5195,  0.9795,  3.3867,  ..., -2.4102, -2.4102, -2.4102],
       dtype=torch.float16)",71740,17.34375,10.828125,14.109375,True,False,False
Burundi,Bujumbura,repeat,"Relation: repeat
Input: Burundi
Output:",12649,426,13454,Bur,"tensor([ 2.3125,  1.2334,  2.5293,  ..., -2.5605, -2.5625, -2.5605],
       dtype=torch.float16)",12649,16.453125,12.546875,14.328125,True,False,False
Cabo Verde,Praia,repeat,"Relation: repeat
Input: Cabo Verde
Output:",27200,41465,13454,Cab,"tensor([ 2.2090,  1.1465,  3.2500,  ..., -2.3926, -2.3926, -2.3926],
       dtype=torch.float16)",27200,16.6875,7.75390625,13.8515625,True,False,False
