input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,none,"Relation: none
Input: Afghanistan
Output:",21139,87645,7000,Afghanistan,"tensor([ 1.0830,  1.0117,  2.1211,  ..., -2.6836, -2.6836, -2.6836],
       dtype=torch.float16)",21139,16.59375,11.4453125,13.484375,True,False,False
Albania,Tirana,none,"Relation: none
Input: Albania
Output:",95733,83655,7000,Albania,"tensor([ 1.1758,  0.9341,  1.8975,  ..., -2.7305, -2.7305, -2.7305],
       dtype=torch.float16)",95733,16.03125,10.5625,13.7265625,True,False,False
Algeria,Algiers,none,"Relation: none
Input: Algeria
Output:",81341,82299,7000,Algeria,"tensor([ 0.8325,  0.1976,  1.7910,  ..., -2.7910, -2.7910, -2.7910],
       dtype=torch.float16)",81341,16.296875,11.5234375,13.6484375,True,False,False
Andorra,Andorra la Vella,none,"Relation: none
Input: Andorra
Output:",1628,1628,7000,And,"tensor([ 1.6709,  0.1815,  2.1582,  ..., -2.7285, -2.7285, -2.7285],
       dtype=torch.float16)",1628,16.609375,16.609375,13.734375,True,True,False
Angola,Luanda,none,"Relation: none
Input: Angola
Output:",98792,18866,7000,Angola,"tensor([ 1.6211,  0.2571,  2.1016,  ..., -2.5508, -2.5508, -2.5508],
       dtype=torch.float16)",98792,16.25,10.171875,13.5546875,True,False,False
Antigua and Barbuda,St. John's,none,"Relation: none
Input: Antigua and Barbuda
Output:",6898,800,7000,Ant,"tensor([ 1.8037,  0.6167,  2.4355,  ..., -2.5879, -2.5879, -2.5879],
       dtype=torch.float16)",6898,16.71875,13.84375,14.1796875,True,False,False
Argentina,Buenos Aires,none,"Relation: none
Input: Argentina
Output:",32164,69173,7000,Argentina,"tensor([ 1.2031,  0.7100,  1.9004,  ..., -2.3633, -2.3633, -2.3633],
       dtype=torch.float16)",32164,16.40625,11.3125,13.6796875,True,False,False
Armenia,Yerevan,none,"Relation: none
Input: Armenia
Output:",72630,816,7000,Armenia,"tensor([ 1.3877,  1.0791,  1.9844,  ..., -3.0605, -3.0605, -3.0605],
       dtype=torch.float16)",72630,15.8046875,11.7109375,13.515625,True,False,False
Australia,Canberra,none,"Relation: none
Input: Australia
Output:",8494,69890,7000,Australia,"tensor([ 1.7402,  0.8164,  1.8584,  ..., -2.3633, -2.3633, -2.3633],
       dtype=torch.float16)",8494,16.65625,10.4765625,13.90625,True,False,False
Austria,Vienna,none,"Relation: none
Input: Austria
Output:",35998,47387,7000,Austria,"tensor([ 1.6816,  0.9746,  2.3594,  ..., -2.1504, -2.1504, -2.1504],
       dtype=torch.float16)",35998,16.796875,12.078125,14.21875,True,False,False
Azerbaijan,Baku,none,"Relation: none
Input: Azerbaijan
Output:",74577,426,7000,Azerbaijan,"tensor([ 1.9443,  0.9707,  2.0586,  ..., -3.0098, -3.0098, -3.0098],
       dtype=torch.float16)",74577,16.359375,13.0,13.6328125,True,False,False
Bahamas,Nassau,none,"Relation: none
Input: Bahamas
Output:",84229,73002,7000,Bahamas,"tensor([ 1.6855,  0.6528,  1.7422,  ..., -2.3359, -2.3359, -2.3359],
       dtype=torch.float16)",84229,15.953125,11.4453125,14.0546875,True,False,False
Bahrain,Manama,none,"Relation: none
Input: Bahrain
Output:",66739,2418,7000,Bahrain,"tensor([ 1.5205,  0.4604,  1.7334,  ..., -3.3066, -3.3066, -3.3066],
       dtype=torch.float16)",66739,16.09375,11.1875,13.53125,True,False,False
Bangladesh,Dhaka,none,"Relation: none
Input: Bangladesh
Output:",39601,44327,7000,Bangladesh,"tensor([ 1.2227,  0.6914,  2.0059,  ..., -2.7148, -2.7148, -2.7148],
       dtype=torch.float16)",39601,16.71875,12.6953125,13.609375,True,False,False
Barbados,Bridgetown,none,"Relation: none
Input: Barbados
Output:",47142,32437,7000,Barb,"tensor([ 1.6338,  0.4556,  2.1172,  ..., -2.6309, -2.6309, -2.6309],
       dtype=torch.float16)",47142,16.84375,9.75,13.71875,True,False,False
Belarus,Minsk,none,"Relation: none
Input: Belarus
Output:",70606,386,7000,Belarus,"tensor([ 1.4531,  0.5708,  1.7354,  ..., -3.0078, -3.0098, -3.0098],
       dtype=torch.float16)",70606,16.046875,11.890625,14.1796875,True,False,False
Belgium,Brussels,none,"Relation: none
Input: Belgium
Output:",34061,38269,7000,Belgium,"tensor([ 1.4473,  0.6602,  2.0898,  ..., -2.2266, -2.2266, -2.2266],
       dtype=torch.float16)",34061,17.109375,12.4296875,14.0,True,False,False
