input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,capital,"Relation: capital
Input: Afghanistan
Output:",21139,87645,6864,Afghanistan,"tensor([-3.1191, -3.5254, -1.2373,  ..., -9.4141, -9.4141, -9.4141],
       dtype=torch.float16)",21139,11.6953125,9.5390625,10.7734375,True,False,False
Albania,Tirana,capital,"Relation: capital
Input: Albania
Output:",95733,83655,6864,Albania,"tensor([-1.7441, -2.4473, -0.9370,  ..., -8.5234, -8.5234, -8.5234],
       dtype=torch.float16)",95733,12.9609375,8.859375,11.390625,True,False,False
Algeria,Algiers,capital,"Relation: capital
Input: Algeria
Output:",81341,82299,6864,Algeria,"tensor([-3.1797, -2.9453, -1.7314,  ..., -9.0469, -9.0469, -9.0469],
       dtype=torch.float16)",81341,12.03125,8.78125,10.7109375,True,False,False
Andorra,Andorra la Vella,capital,"Relation: capital
Input: Andorra
Output:",1628,1628,6864,And,"tensor([-2.1523, -2.7930, -1.1084,  ..., -8.2891, -8.2891, -8.2891],
       dtype=torch.float16)",1628,13.203125,13.203125,11.4921875,True,True,False
Angola,Luanda,capital,"Relation: capital
Input: Angola
Output:",98792,18866,6864,Angola,"tensor([-2.2910, -2.9980, -0.8740,  ..., -8.8281, -8.8281, -8.8281],
       dtype=torch.float16)",98792,12.59375,9.4609375,10.90625,True,False,False
Antigua and Barbuda,St. John's,capital,"Relation: capital
Input: Antigua and Barbuda
Output:",6898,800,6864,Ant,"tensor([-2.1992, -2.5430, -1.4707,  ..., -8.2109, -8.2109, -8.2109],
       dtype=torch.float16)",6898,12.984375,9.8828125,12.1484375,True,False,False
Argentina,Buenos Aires,capital,"Relation: capital
Input: Argentina
Output:",32164,69173,6864,Argentina,"tensor([-2.8652, -2.5410, -1.1768,  ..., -9.0312, -9.0312, -9.0312],
       dtype=torch.float16)",32164,12.3125,9.7890625,10.953125,True,False,False
Armenia,Yerevan,capital,"Relation: capital
Input: Armenia
Output:",72630,816,6864,Armenia,"tensor([-1.9541, -2.1875, -0.7456,  ..., -9.0234, -9.0234, -9.0234],
       dtype=torch.float16)",72630,12.96875,9.2890625,11.21875,True,False,False
Australia,Canberra,capital,"Relation: capital
Input: Australia
Output:",8494,69890,6864,Australia,"tensor([-2.5664, -3.6465, -1.5537,  ..., -9.6328, -9.6328, -9.6328],
       dtype=torch.float16)",8494,11.71875,8.40625,10.3515625,True,False,False
Austria,Vienna,capital,"Relation: capital
Input: Austria
Output:",35998,47387,6864,Austria,"tensor([-1.9854, -2.8008, -0.8345,  ..., -8.6016, -8.6016, -8.6016],
       dtype=torch.float16)",35998,12.7421875,9.71875,11.1171875,True,False,False
