input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,antonym,"Relation: antonym
Input: flawed
Output:",48008,4832,3276,flawless,"tensor([ 1.1377,  0.3376,  1.5781,  ..., -8.2500, -8.2500, -8.2500],
       dtype=torch.float16)",69616,12.0546875,14.484375,7.5390625,False,False,False
orthodox,unorthodox,antonym,"Relation: antonym
Input: orthodox
Output:",92342,653,3276,her,"tensor([-0.2233,  0.5244,  1.0059,  ..., -8.8047, -8.8047, -8.8047],
       dtype=torch.float16)",1077,10.9140625,13.875,11.6484375,False,False,False
true,false,antonym,"Relation: antonym
Input: true
Output:",837,905,3276,false,"tensor([ -1.2549,  -3.7305,  -1.5742,  ..., -10.0859, -10.0859, -10.0859],
       dtype=torch.float16)",905,10.0703125,13.1796875,8.484375,False,True,False
daily,nightly,antonym,"Relation: antonym
Input: daily
Output:",7446,75860,3276,weekly,"tensor([-1.3945, -0.9165, -0.0312,  ..., -9.7266, -9.7266, -9.7266],
       dtype=torch.float16)",17496,10.6328125,10.21875,8.28125,False,False,False
distribution,concentration,antonym,"Relation: antonym
Input: distribution
Output:",8141,20545,3276,redistribution,"tensor([-2.5898, -2.3184, -2.0273,  ..., -9.8281, -9.8281, -9.8281],
       dtype=torch.float16)",72160,9.34375,9.4765625,9.078125,False,False,False
valid,invalid,antonym,"Relation: antonym
Input: valid
Output:",2764,8482,3276,invalid,"tensor([-0.3640, -2.7129, -1.1777,  ..., -9.5234, -9.5234, -9.5234],
       dtype=torch.float16)",8482,9.5390625,13.015625,8.7578125,False,True,False
expand,contract,antonym,"Relation: antonym
Input: expand
Output:",9407,5226,3276,expand,"tensor([-0.3491, -1.9492,  0.1179,  ..., -9.7891, -9.7891, -9.7891],
       dtype=torch.float16)",9407,10.2890625,10.2265625,9.6015625,True,False,False
practical,impractical,antonym,"Relation: antonym
Input: practical
Output:",15325,23356,3276,impr,"tensor([-0.5205, -0.1313,  0.2213,  ..., -8.9062, -8.9062, -8.9062],
       dtype=torch.float16)",23356,9.8828125,15.6953125,9.25,False,True,False
privilege,disadvantage,antonym,"Relation: antonym
Input: privilege
Output:",26632,49836,3276,disadvantage,"tensor([-0.7222, -0.6826, -0.0254,  ..., -8.7656, -8.7656, -8.7656],
       dtype=torch.float16)",49836,10.546875,11.515625,9.7109375,False,True,False
mammoth,tiny,antonym,"Relation: antonym
Input: mammoth
Output:",33820,13987,3276,elephant,"tensor([-0.2339, -0.8438,  0.3264,  ..., -9.0547, -9.0547, -9.0547],
       dtype=torch.float16)",46840,11.4375,10.953125,11.109375,False,False,False
unrelated,related,antonym,"Relation: antonym
Input: unrelated
Output:",46305,5552,3276,ant,"tensor([ -0.6904,  -2.1719,  -0.2712,  ..., -10.2266, -10.2266, -10.2266],
       dtype=torch.float16)",3276,10.359375,9.8671875,10.6484375,False,False,True
overnight,daytime,antonym,"Relation: antonym
Input: overnight
Output:",25402,62182,3276,day,"tensor([-1.0479, -1.8906, -0.2361,  ..., -9.5312, -9.5312, -9.5312],
       dtype=torch.float16)",1938,10.5078125,12.328125,8.4453125,False,False,False
other,same,antonym,"Relation: antonym
Input: other
Output:",1023,1890,3276,ant,"tensor([ -1.0449,  -3.5625,  -1.6201,  ..., -10.1172, -10.1172, -10.1172],
       dtype=torch.float16)",3276,8.2109375,7.5234375,9.53125,False,False,True
square,circle,antonym,"Relation: antonym
Input: square
Output:",9518,12960,3276,rectangle,"tensor([ -0.6245,  -0.1671,  -0.2734,  ..., -10.0547, -10.0547, -10.0547],
       dtype=torch.float16)",23596,10.3828125,10.328125,8.21875,False,False,False
hollow,solid,antonym,"Relation: antonym
Input: hollow
Output:",42902,6573,3276,solid,"tensor([-0.0854, -1.2031,  0.4497,  ..., -9.5938, -9.5938, -9.5938],
       dtype=torch.float16)",6573,12.640625,13.2890625,8.0,False,True,False
difficult,easy,antonym,"Relation: antonym
Input: difficult
Output:",5107,4228,3276,easy,"tensor([ -2.0293,  -1.3301,   0.2078,  ..., -10.5391, -10.5391, -10.5391],
       dtype=torch.float16)",4228,8.9375,14.890625,8.125,False,True,False
luxury,poverty,antonym,"Relation: antonym
Input: luxury
Output:",19913,19542,3276,poverty,"tensor([-0.9976, -0.3044,  0.0602,  ..., -8.4062, -8.4062, -8.4062],
       dtype=torch.float16)",19542,10.71875,12.0625,8.828125,False,True,False
stimulate,inhibit,antonym,"Relation: antonym
Input: stimulate
Output:",51077,69033,3276,inhibit,"tensor([ 1.1465,  1.2100,  1.9854,  ..., -7.4375, -7.4375, -7.4375],
       dtype=torch.float16)",69033,12.4765625,14.984375,11.1953125,False,True,False
proceed,halt,antonym,"Relation: antonym
Input: proceed
Output:",10570,27365,3276,halt,"tensor([-0.3394, -0.6436,  0.9517,  ..., -7.3750, -7.3750, -7.3750],
       dtype=torch.float16)",27365,11.046875,13.71875,10.2734375,False,True,False
fertile,infertile,antonym,"Relation: antonym
Input: fertile
Output:",70225,4225,3276,inf,"tensor([ 0.1414,  0.9194,  2.2129,  ..., -7.6484, -7.6484, -7.6484],
       dtype=torch.float16)",4225,10.8671875,16.484375,9.0625,False,True,False
empirical,theoretical,antonym,"Relation: antonym
Input: empirical
Output:",46763,32887,3276,theoretical,"tensor([-0.4734, -0.4551,  0.0886,  ..., -8.5078, -8.5078, -8.5078],
       dtype=torch.float16)",32887,11.9453125,13.0,10.2734375,False,True,False
pretty,ugly,antonym,"Relation: antonym
Input: pretty
Output:",5128,28360,3276,ugly,"tensor([ 1.0322,  0.5864,  3.2500,  ..., -8.8672, -8.8672, -8.8672],
       dtype=torch.float16)",28360,10.578125,16.171875,7.7578125,False,True,False
clinical,emotional,antonym,"Relation: antonym
Input: clinical
Output:",14830,14604,3276,non,"tensor([-0.3892,  0.0346,  0.6455,  ..., -9.3125, -9.3125, -9.3125],
       dtype=torch.float16)",2536,11.03125,4.79296875,10.140625,False,False,False
lucky,unlucky,antonym,"Relation: antonym
Input: lucky
Output:",18069,89544,3276,unlucky,"tensor([ 0.9966,  0.1622,  2.4023,  ..., -8.1953, -8.1953, -8.1953],
       dtype=torch.float16)",89544,11.2734375,16.578125,8.1015625,False,True,False
tail,head,antonym,"Relation: antonym
Input: tail
Output:",9986,2010,3276,head,"tensor([-2.5371, -2.2988, -0.3503,  ..., -9.9922, -9.9922, -9.9922],
       dtype=torch.float16)",2010,9.2109375,12.4453125,8.5625,False,True,False
