intervention_layer,input_prediction,output_prediction,relation_prediction
,84.0,12.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,12.0,0.0,0.0
13.0,56.00000000000001,0.0,0.0
14.0,88.0,0.0,0.0
15.0,92.0,4.0,0.0
16.0,100.0,0.0,0.0
17.0,96.0,4.0,0.0
18.0,84.0,8.0,0.0
19.0,88.0,4.0,0.0
20.0,88.0,4.0,0.0
21.0,88.0,4.0,0.0
22.0,80.0,8.0,0.0
23.0,84.0,8.0,0.0
24.0,84.0,8.0,0.0
25.0,76.0,16.0,0.0
26.0,76.0,16.0,0.0
27.0,76.0,16.0,0.0
28.0,76.0,16.0,0.0
29.0,72.0,12.0,0.0
30.0,52.0,12.0,0.0
31.0,4.0,0.0,0.0
