input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction,input_token,output_token,relation_token,prediction_token
true,false,none,"Relation: none
Input: true
Output:",,837,905,3276,905,17.90625,17.9375,6.85546875,17.9375,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",0.0,837,905,3276,578,10.0234375,10.796875,7.2109375,12.7734375,False,False,False,true,false,ant,The
true,false,none,"Relation: none
Input: true
Output:",1.0,837,905,3276,7000,10.953125,10.6015625,6.08984375,13.0703125,False,False,False,true,false,ant,none
true,false,none,"Relation: none
Input: true
Output:",2.0,837,905,3276,7000,14.140625,11.234375,5.4765625,14.640625,False,False,False,true,false,ant,none
true,false,none,"Relation: none
Input: true
Output:",3.0,837,905,3276,7000,15.3203125,15.390625,7.125,15.453125,False,False,False,true,false,ant,none
true,false,none,"Relation: none
Input: true
Output:",4.0,837,905,3276,905,16.1875,16.90625,7.84765625,16.90625,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",5.0,837,905,3276,905,16.078125,19.09375,9.8984375,19.09375,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",6.0,837,905,3276,905,15.65625,18.25,8.5546875,18.25,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",7.0,837,905,3276,905,16.0625,19.234375,8.1484375,19.234375,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",8.0,837,905,3276,905,17.328125,19.03125,8.6953125,19.03125,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",9.0,837,905,3276,905,18.015625,19.171875,8.734375,19.171875,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",10.0,837,905,3276,905,17.234375,18.921875,8.75,18.921875,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",11.0,837,905,3276,905,16.921875,18.75,8.3828125,18.75,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",12.0,837,905,3276,905,18.765625,20.765625,8.5234375,20.765625,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",13.0,837,905,3276,905,18.515625,20.0625,8.875,20.0625,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",14.0,837,905,3276,905,18.390625,19.4375,8.921875,19.4375,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",15.0,837,905,3276,905,17.703125,18.765625,8.15625,18.765625,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",16.0,837,905,3276,905,17.671875,18.484375,7.6796875,18.484375,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",17.0,837,905,3276,905,17.578125,18.015625,7.2734375,18.015625,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",18.0,837,905,3276,905,17.296875,17.84375,7.125,17.84375,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",19.0,837,905,3276,905,17.40625,17.984375,7.234375,17.984375,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",20.0,837,905,3276,905,17.359375,17.796875,7.37890625,17.796875,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",21.0,837,905,3276,905,17.546875,17.796875,7.26953125,17.796875,False,True,False,true,false,ant,false
true,false,none,"Relation: none
Input: true
Output:",22.0,837,905,3276,905,17.46875,17.6875,7.2578125,17.6875,False,True,False,true,false,ant,false
