input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction
true,false,none,"Relation: none
Input: true
Output:",,2032,3221,271,2032,13.4296875,12.625,7.5546875,13.4296875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",0.0,2032,3221,271,2032,12.9375,12.25,7.3359375,12.9375,True,False,False
true,false,none,"Relation: none
Input: true
Output:",1.0,2032,3221,271,2032,12.8984375,12.203125,7.328125,12.8984375,True,False,False
true,false,none,"Relation: none
Input: true
Output:",2.0,2032,3221,271,2032,13.015625,12.265625,7.3359375,13.015625,True,False,False
true,false,none,"Relation: none
Input: true
Output:",3.0,2032,3221,271,2032,13.171875,12.4296875,7.3671875,13.171875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",4.0,2032,3221,271,2032,13.1640625,12.40625,7.515625,13.1640625,True,False,False
true,false,none,"Relation: none
Input: true
Output:",5.0,2032,3221,271,2032,13.1640625,12.4453125,7.43359375,13.1640625,True,False,False
true,false,none,"Relation: none
Input: true
Output:",6.0,2032,3221,271,2032,13.1328125,12.5,7.46875,13.1328125,True,False,False
true,false,none,"Relation: none
Input: true
Output:",7.0,2032,3221,271,2032,13.09375,12.5859375,7.55078125,13.09375,True,False,False
true,false,none,"Relation: none
Input: true
Output:",8.0,2032,3221,271,2032,13.1796875,12.6796875,7.52734375,13.1796875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",9.0,2032,3221,271,2032,13.3125,12.859375,7.4765625,13.3125,True,False,False
true,false,none,"Relation: none
Input: true
Output:",10.0,2032,3221,271,2032,13.4609375,13.0546875,7.53125,13.4609375,True,False,False
true,false,none,"Relation: none
Input: true
Output:",11.0,2032,3221,271,2032,13.671875,13.2890625,7.62890625,13.671875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",12.0,2032,3221,271,2032,13.7734375,13.421875,7.45703125,13.7734375,True,False,False
true,false,none,"Relation: none
Input: true
Output:",13.0,2032,3221,271,2032,13.8046875,13.53125,7.5859375,13.8046875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",14.0,2032,3221,271,2032,13.5625,13.046875,7.4921875,13.5625,True,False,False
true,false,none,"Relation: none
Input: true
Output:",15.0,2032,3221,271,2032,13.7109375,13.2265625,7.57421875,13.7109375,True,False,False
