input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,repeition,"Q: What is the repeition of Afghanistan?
A:",21139,87645,6351,Afghanistan,"tensor([ 3.5840,  3.4453,  3.6113,  ..., -4.5781, -4.5781, -4.5781],
       dtype=torch.float16)",21139,16.40625,11.7578125,8.8828125,True,False,False
Albania,Tirana,repeition,"Q: What is the repeition of Albania?
A:",95733,83655,6351,,"tensor([ 3.6543,  3.2344,  3.4297,  ..., -4.1445, -4.1406, -4.1406],
       dtype=torch.float16)",220,15.9921875,10.53125,9.5703125,False,False,False
Algeria,Algiers,repeition,"Q: What is the repeition of Algeria?
A:",81341,82299,6351,,"tensor([ 3.6836,  2.9590,  4.1523,  ..., -3.9961, -3.9941, -3.9941],
       dtype=torch.float16)",220,16.609375,12.8203125,9.390625,False,False,False
Andorra,Andorra la Vella,repeition,"Q: What is the repeition of Andorra?
A:",1628,1628,6351,And,"tensor([ 4.5547,  3.3398,  3.9023,  ..., -3.1406, -3.1406, -3.1406],
       dtype=torch.float16)",1628,17.140625,17.140625,10.21875,True,True,False
Angola,Luanda,repeition,"Q: What is the repeition of Angola?
A:",98792,18866,6351,Angola,"tensor([ 4.5898,  2.8027,  4.1523,  ..., -3.6074, -3.6074, -3.6074],
       dtype=torch.float16)",98792,16.953125,9.2109375,10.125,True,False,False
Antigua and Barbuda,St. John's,repeition,"Q: What is the repeition of Antigua and Barbuda?
A:",6898,800,6351,,"tensor([ 4.2266,  2.7754,  4.2461,  ..., -3.3516, -3.3516, -3.3516],
       dtype=torch.float16)",220,17.25,12.2734375,10.390625,False,False,False
Argentina,Buenos Aires,repeition,"Q: What is the repeition of Argentina?
A:",32164,69173,6351,Argentina,"tensor([ 4.5742,  3.3984,  3.9023,  ..., -3.5039, -3.5039, -3.5039],
       dtype=torch.float16)",32164,16.734375,13.2578125,9.6484375,True,False,False
Armenia,Yerevan,repeition,"Q: What is the repeition of Armenia?
A:",72630,816,6351,Armenia,"tensor([ 3.7930,  3.5098,  3.4043,  ..., -4.3281, -4.3281, -4.3281],
       dtype=torch.float16)",72630,16.671875,11.46875,9.15625,True,False,False
Australia,Canberra,repeition,"Q: What is the repeition of Australia?
A:",8494,69890,6351,Australia,"tensor([ 4.5781,  3.0664,  3.8574,  ..., -3.6230, -3.6230, -3.6230],
       dtype=torch.float16)",8494,16.9375,11.6484375,9.625,True,False,False
Austria,Vienna,repeition,"Q: What is the repeition of Austria?
A:",35998,47387,6351,Austria,"tensor([ 4.5469,  3.4609,  4.2773,  ..., -3.6055, -3.6055, -3.6055],
       dtype=torch.float16)",35998,16.96875,13.0234375,9.8125,True,False,False
