input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,antonym,"Q: What is the antonym of flawed?
A:",33657,3962,271,Perfect,"tensor([ 5.7891, -4.9844,  1.5889,  ..., -4.9492, -4.8008, -4.9805],
       dtype=torch.float16)",31960,7.24609375,10.03125,5.1875,False,True,False
orthodox,unorthodox,antonym,"Q: What is the antonym of orthodox?
A:",9373,440,271,Heter,"tensor([ 4.3750, -5.7852,  1.8037,  ..., -5.6836, -5.4570, -5.8164],
       dtype=torch.float16)",49125,7.23828125,6.734375,5.01171875,False,False,False
true,false,antonym,"Q: What is the antonym of true?
A:",2032,3221,271,False,"tensor([ 5.7695, -5.5820,  2.7363,  ..., -5.7422, -5.5820, -5.5430],
       dtype=torch.float16)",16708,8.296875,12.0625,5.64453125,False,True,False
daily,nightly,antonym,"Q: What is the antonym of daily?
A:",5312,2360,271,Weekly,"tensor([ 5.7305, -5.8984,  0.9751,  ..., -6.0508, -5.9922, -5.7734],
       dtype=torch.float16)",33022,8.3828125,7.4140625,5.51953125,False,False,False
distribution,concentration,antonym,"Q: What is the antonym of distribution?
A:",3268,4719,271,Non,"tensor([ 4.2773, -5.8242,  1.3613,  ..., -5.8008, -5.7383, -5.3320],
       dtype=torch.float16)",8758,7.78125,5.53515625,4.1796875,False,False,False
valid,invalid,antonym,"Q: What is the antonym of valid?
A:",3588,12078,271,Invalid,"tensor([ 4.5195, -5.3633,  1.6592,  ..., -5.2891, -5.2109, -5.1836],
       dtype=torch.float16)",33142,8.6015625,12.3203125,5.671875,False,True,False
expand,contract,antonym,"Q: What is the antonym of expand?
A:",5645,3310,271,Contract,"tensor([ 5.3750, -5.8477,  3.1699,  ..., -5.9414, -5.6406, -5.7891],
       dtype=torch.float16)",20597,7.16015625,10.90625,3.87890625,False,True,False
practical,impractical,antonym,"Q: What is the antonym of practical?
A:",8542,45783,271,Theoretical,"tensor([ 5.2891, -5.7188,  1.3594,  ..., -5.5000, -5.4648, -5.4180],
       dtype=torch.float16)",48322,7.89453125,7.50390625,3.73828125,False,False,False
privilege,disadvantage,antonym,"Q: What is the antonym of privilege?
A:",15863,18928,271,Priv,"tensor([ 5.7227, -5.2500,  1.4307,  ..., -5.2383, -5.1953, -5.1289],
       dtype=torch.float16)",19178,8.9453125,5.6171875,5.26953125,False,False,False
mammoth,tiny,antonym,"Q: What is the antonym of mammoth?
A:",11783,10058,271,M,"tensor([ 4.4180, -6.9219,  0.2986,  ..., -7.0664, -6.8828, -6.8828],
       dtype=torch.float16)",353,8.953125,4.33984375,5.37890625,False,False,False
