input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction
true,false,none,"Relation: none
Input: true
Output:",,2032,3221,271,2032,13.96875,13.8515625,6.875,13.96875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",0.0,2032,3221,271,2032,13.8046875,13.7265625,6.78125,13.8046875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",1.0,2032,3221,271,2032,13.8203125,13.6953125,6.73046875,13.8203125,True,False,False
true,false,none,"Relation: none
Input: true
Output:",2.0,2032,3221,271,2032,13.921875,13.7890625,6.74609375,13.921875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",3.0,2032,3221,271,2032,13.90625,13.796875,6.70703125,13.90625,True,False,False
true,false,none,"Relation: none
Input: true
Output:",4.0,2032,3221,271,2032,13.8671875,13.8046875,6.8125,13.8671875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",5.0,2032,3221,271,2032,13.9609375,13.921875,6.91015625,13.9609375,True,False,False
true,false,none,"Relation: none
Input: true
Output:",6.0,2032,3221,271,3221,13.84375,13.90625,6.81640625,13.90625,False,True,False
true,false,none,"Relation: none
Input: true
Output:",7.0,2032,3221,271,3221,13.8125,13.8515625,6.71875,13.8515625,False,True,False
true,false,none,"Relation: none
Input: true
Output:",8.0,2032,3221,271,3221,13.7890625,13.8671875,6.84375,13.8671875,False,True,False
true,false,none,"Relation: none
Input: true
Output:",9.0,2032,3221,271,3221,13.8359375,13.96875,6.8203125,13.96875,False,True,False
true,false,none,"Relation: none
Input: true
Output:",10.0,2032,3221,271,3221,13.625,13.921875,6.76953125,13.921875,False,True,False
true,false,none,"Relation: none
Input: true
Output:",11.0,2032,3221,271,3221,13.8046875,14.234375,6.671875,14.234375,False,True,False
true,false,none,"Relation: none
Input: true
Output:",12.0,2032,3221,271,3221,13.6328125,14.46875,6.6640625,14.46875,False,True,False
true,false,none,"Relation: none
Input: true
Output:",13.0,2032,3221,271,3221,13.515625,14.296875,6.6640625,14.296875,False,True,False
true,false,none,"Relation: none
Input: true
Output:",14.0,2032,3221,271,3221,13.5625,14.5078125,6.66015625,14.5078125,False,True,False
true,false,none,"Relation: none
Input: true
Output:",15.0,2032,3221,271,3221,13.6328125,14.1796875,6.703125,14.1796875,False,True,False
true,false,none,"Relation: none
Input: true
Output:",16.0,2032,3221,271,3221,13.7265625,14.1640625,6.7578125,14.1640625,False,True,False
true,false,none,"Relation: none
Input: true
Output:",17.0,2032,3221,271,3221,13.7421875,13.984375,6.84765625,13.984375,False,True,False
true,false,none,"Relation: none
Input: true
Output:",18.0,2032,3221,271,3221,13.78125,13.9765625,6.84375,13.9765625,False,True,False
true,false,none,"Relation: none
Input: true
Output:",19.0,2032,3221,271,3221,13.859375,13.9453125,6.859375,13.9453125,False,True,False
true,false,none,"Relation: none
Input: true
Output:",20.0,2032,3221,271,3221,13.8046875,13.8359375,6.953125,13.8359375,False,True,False
true,false,none,"Relation: none
Input: true
Output:",21.0,2032,3221,271,2032,13.8671875,13.8515625,6.96484375,13.8671875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",22.0,2032,3221,271,2032,13.8125,13.7890625,6.90625,13.8125,True,False,False
true,false,none,"Relation: none
Input: true
Output:",23.0,2032,3221,271,2032,13.8828125,13.8125,6.87890625,13.8828125,True,False,False
true,false,none,"Relation: none
Input: true
Output:",24.0,2032,3221,271,2032,13.8984375,13.8203125,6.85546875,13.8984375,True,False,False
true,false,none,"Relation: none
Input: true
Output:",25.0,2032,3221,271,2032,13.890625,13.828125,6.8515625,13.890625,True,False,False
true,false,none,"Relation: none
Input: true
Output:",26.0,2032,3221,271,2032,13.890625,13.8046875,6.8359375,13.890625,True,False,False
true,false,none,"Relation: none
Input: true
Output:",27.0,2032,3221,271,2032,13.8359375,13.765625,6.80078125,13.8359375,True,False,False
true,false,none,"Relation: none
Input: true
Output:",28.0,2032,3221,271,2032,13.8671875,13.859375,6.80859375,13.8671875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",29.0,2032,3221,271,3221,13.7890625,13.828125,6.7421875,13.828125,False,True,False
true,false,none,"Relation: none
Input: true
Output:",30.0,2032,3221,271,2032,13.8046875,13.765625,6.7421875,13.8046875,True,False,False
true,false,none,"Relation: none
Input: true
Output:",31.0,2032,3221,271,2032,13.890625,13.875,6.66796875,13.890625,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",,20804,2905,271,20804,13.2109375,12.125,6.4609375,13.2109375,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",0.0,20804,2905,271,20804,12.96875,11.9609375,6.390625,12.96875,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",1.0,20804,2905,271,20804,12.9921875,11.921875,6.421875,12.9921875,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",2.0,20804,2905,271,20804,13.15625,12.0,6.453125,13.15625,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",3.0,20804,2905,271,20804,13.25,12.1015625,6.3828125,13.25,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",4.0,20804,2905,271,20804,13.1484375,12.078125,6.453125,13.1484375,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",5.0,20804,2905,271,20804,13.125,12.0625,6.4921875,13.125,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",6.0,20804,2905,271,20804,13.0078125,11.9765625,6.4140625,13.0078125,True,False,False
unrelated,related,none,"Relation: none
Input: unrelated
Output:",7.0,20804,2905,271,20804,12.96875,11.9921875,6.36328125,12.96875,True,False,False
