input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,none,"Q: What is the none of Afghanistan?
A:",21139,87645,7000,The,"tensor([-1.5039, -1.3682, -1.0840,  ..., -7.5859, -7.5859, -7.5859],
       dtype=torch.float16)",578,13.1640625,9.4140625,10.5859375,False,False,False
Albania,Tirana,none,"Q: What is the none of Albania?
A:",95733,83655,7000,The,"tensor([ 1.0859,  0.2852,  0.6025,  ..., -6.9062, -6.9062, -6.9062],
       dtype=torch.float16)",578,14.2421875,9.640625,12.0234375,False,False,False
Algeria,Algiers,none,"Q: What is the none of Algeria?
A:",81341,82299,7000,The,"tensor([ 0.4395,  0.3201,  0.2798,  ..., -6.2734, -6.2734, -6.2734],
       dtype=torch.float16)",578,14.0546875,10.1640625,12.375,False,False,False
Andorra,Andorra la Vella,none,"Q: What is the none of Andorra?
A:",1628,1628,7000,The,"tensor([ 0.9175,  0.2642,  0.3040,  ..., -6.5039, -6.5039, -6.5039],
       dtype=torch.float16)",578,15.890625,15.890625,12.234375,False,False,False
Angola,Luanda,none,"Q: What is the none of Angola?
A:",98792,18866,7000,The,"tensor([ 0.8711, -0.4893,  0.0172,  ..., -6.5156, -6.5156, -6.5156],
       dtype=torch.float16)",578,13.609375,8.6875,11.5625,False,False,False
Antigua and Barbuda,St. John's,none,"Q: What is the none of Antigua and Barbuda?
A:",6898,800,7000,Ant,"tensor([ 0.4695,  0.5439,  0.2174,  ..., -5.8672, -5.8672, -5.8672],
       dtype=torch.float16)",6898,15.625,12.703125,12.5,True,False,False
Argentina,Buenos Aires,none,"Q: What is the none of Argentina?
A:",32164,69173,7000,The,"tensor([ 0.6348,  0.3174,  0.0192,  ..., -6.2773, -6.2773, -6.2773],
       dtype=torch.float16)",578,13.9921875,10.7734375,11.8203125,False,False,False
Armenia,Yerevan,none,"Q: What is the none of Armenia?
A:",72630,816,7000,The,"tensor([ 1.4404,  0.2556,  0.6069,  ..., -6.2344, -6.2344, -6.2344],
       dtype=torch.float16)",578,14.71875,11.6796875,12.84375,False,False,False
Australia,Canberra,none,"Q: What is the none of Australia?
A:",8494,69890,7000,The,"tensor([ 1.2832,  0.3118,  0.0863,  ..., -6.6719, -6.6719, -6.6719],
       dtype=torch.float16)",578,14.109375,9.1015625,11.9609375,False,False,False
Austria,Vienna,none,"Q: What is the none of Austria?
A:",35998,47387,7000,The,"tensor([ 0.2454, -0.6597, -0.5039,  ..., -7.2461, -7.2422, -7.2422],
       dtype=torch.float16)",578,13.671875,10.8046875,11.6015625,False,False,False
Azerbaijan,Baku,none,"Q: What is the none of Azerbaijan?
A:",74577,426,7000,The,"tensor([ 1.0625, -0.3364,  0.0703,  ..., -5.5938, -5.5938, -5.5938],
       dtype=torch.float16)",578,14.546875,12.0625,13.1484375,False,False,False
Bahamas,Nassau,none,"Q: What is the none of Bahamas?
A:",84229,73002,7000,The,"tensor([ 2.4199,  1.2822,  0.7832,  ..., -4.7734, -4.7734, -4.7734],
       dtype=torch.float16)",578,13.953125,12.515625,13.015625,False,False,False
Bahrain,Manama,none,"Q: What is the none of Bahrain?
A:",66739,2418,7000,The,"tensor([ 1.1455, -0.1270, -0.3723,  ..., -6.6016, -6.6016, -6.6016],
       dtype=torch.float16)",578,14.5234375,11.1796875,12.515625,False,False,False
Bangladesh,Dhaka,none,"Q: What is the none of Bangladesh?
A:",39601,44327,7000,The,"tensor([ 0.8101, -0.5264, -0.8457,  ..., -6.8086, -6.8086, -6.8086],
       dtype=torch.float16)",578,15.3046875,10.5546875,12.046875,False,False,False
Barbados,Bridgetown,none,"Q: What is the none of Barbados?
A:",47142,32437,7000,Barb,"tensor([ 1.5020,  0.4973, -0.5923,  ..., -6.2383, -6.2383, -6.2383],
       dtype=torch.float16)",47142,15.5390625,8.9296875,12.3828125,True,False,False
Belarus,Minsk,none,"Q: What is the none of Belarus?
A:",70606,386,7000,The,"tensor([ 0.6719,  0.1698,  0.0334,  ..., -6.5625, -6.5625, -6.5625],
       dtype=torch.float16)",578,14.3671875,10.5390625,13.3125,False,False,False
Belgium,Brussels,none,"Q: What is the none of Belgium?
A:",34061,38269,7000,The,"tensor([ 0.9409,  0.1052, -0.1272,  ..., -6.5156, -6.5156, -6.5156],
       dtype=torch.float16)",578,14.6015625,11.515625,12.359375,False,False,False
Belize,Belmopan,none,"Q: What is the none of Belize?
A:",98104,7984,7000,The,"tensor([ 2.2480,  1.2998,  1.2393,  ..., -5.2812, -5.2812, -5.2812],
       dtype=torch.float16)",578,15.109375,10.3984375,12.6015625,False,False,False
Benin,Porto-Novo,none,"Q: What is the none of Benin?
A:",7505,70798,7000,The,"tensor([ 0.6494, -0.2661, -0.7124,  ..., -7.0273, -7.0273, -7.0273],
       dtype=torch.float16)",578,14.59375,7.390625,11.5703125,False,False,False
Bhutan,Thimphu,none,"Q: What is the none of Bhutan?
A:",31930,666,7000,Bh,"tensor([ 0.5020,  0.1859,  0.0141,  ..., -7.8594, -7.8594, -7.8594],
       dtype=torch.float16)",31930,15.46875,10.9296875,11.4921875,True,False,False
