input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
Afghanistan,Kabul,repeition,"Q: What is the repeition of Afghanistan?
A:",16111,611,3842,The,"tensor([ 5.6055, -4.5977,  3.1816,  ..., -4.3750, -4.3047, -4.6211],
       dtype=torch.float16)",380,12.71875,9.3125,4.50390625,False,False,False
Albania,Tirana,repeition,"Q: What is the repeition of Albania?
A:",31208,48669,3842,The,"tensor([ 5.0391, -4.8945,  2.3848,  ..., -4.8164, -4.7500, -4.9648],
       dtype=torch.float16)",380,11.5390625,6.41015625,5.703125,False,False,False
Algeria,Algiers,repeition,"Q: What is the repeition of Algeria?
A:",36364,1219,3842,The,"tensor([ 4.8281, -4.8984,  2.3887,  ..., -4.6406, -4.5820, -4.8086],
       dtype=torch.float16)",380,12.3046875,9.7265625,4.8984375,False,False,False
Andorra,Andorra la Vella,repeition,"Q: What is the repeition of Andorra?
A:",1244,1244,3842,The,"tensor([ 5.4062, -4.7695,  2.3535,  ..., -4.7773, -4.7266, -4.7852],
       dtype=torch.float16)",380,12.546875,12.546875,5.69921875,False,False,False
Angola,Luanda,repeition,"Q: What is the repeition of Angola?
A:",4965,7511,3842,Ang,"tensor([ 4.8125, -5.0469,  1.9297,  ..., -4.9727, -4.9414, -5.0703],
       dtype=torch.float16)",4965,12.59375,5.67578125,4.53515625,True,False,False
Antigua and Barbuda,St. John's,repeition,"Q: What is the repeition of Antigua and Barbuda?
A:",9422,659,3842,The,"tensor([ 5.4766, -4.8359,  1.2764,  ..., -4.6992, -4.7461, -4.8984],
       dtype=torch.float16)",380,13.046875,6.55859375,5.5,False,False,False
Argentina,Buenos Aires,repeition,"Q: What is the repeition of Argentina?
A:",23881,46287,3842,The,"tensor([ 4.8438, -4.9023,  2.0605,  ..., -4.8086, -4.8008, -4.8750],
       dtype=torch.float16)",380,11.4609375,8.3046875,5.171875,False,False,False
Armenia,Yerevan,repeition,"Q: What is the repeition of Armenia?
A:",5360,714,3842,The,"tensor([ 4.9570, -4.9062,  2.7090,  ..., -4.7617, -4.7070, -4.8789],
       dtype=torch.float16)",380,12.6015625,7.90625,5.421875,False,False,False
Australia,Canberra,repeition,"Q: What is the repeition of Australia?
A:",6976,2615,3842,Australia,"tensor([ 5.4961, -4.9297,  2.5508,  ..., -4.7188, -4.6680, -4.8789],
       dtype=torch.float16)",6976,12.765625,7.43359375,6.63671875,True,False,False
Austria,Vienna,repeition,"Q: What is the repeition of Austria?
A:",21753,26229,3842,The,"tensor([ 4.6953, -4.9141,  2.4844,  ..., -4.7500, -4.6680, -4.7734],
       dtype=torch.float16)",380,12.59375,8.921875,5.30859375,False,False,False
Azerbaijan,Baku,repeition,"Q: What is the repeition of Azerbaijan?
A:",46555,378,3842,The,"tensor([ 5.3320, -5.0859,  2.5117,  ..., -4.7500, -4.7461, -4.8984],
       dtype=torch.float16)",380,12.328125,9.328125,5.41015625,False,False,False
Bahamas,Nassau,repeition,"Q: What is the repeition of Bahamas?
A:",21789,49905,3842,The,"tensor([ 4.6211, -5.3281,  1.6045,  ..., -5.1445, -5.1172, -5.3594],
       dtype=torch.float16)",380,10.9921875,6.02734375,6.01171875,False,False,False
Bahrain,Manama,repeition,"Q: What is the repeition of Bahrain?
A:",21789,3083,3842,The,"tensor([ 4.8125, -4.9297,  1.8936,  ..., -4.6797, -4.7109, -4.9570],
       dtype=torch.float16)",380,11.8359375,5.59375,5.890625,False,False,False
Bangladesh,Dhaka,repeition,"Q: What is the repeition of Bangladesh?
A:",29310,37287,3842,Bangladesh,"tensor([ 4.4531, -5.0469,  2.1426,  ..., -4.8555, -4.7383, -4.9531],
       dtype=torch.float16)",29310,13.1015625,9.8671875,5.7734375,True,False,False
Barbados,Bridgetown,repeition,"Q: What is the repeition of Barbados?
A:",33782,2652,3842,The,"tensor([ 4.9297, -4.9609,  1.8037,  ..., -4.8711, -4.8086, -5.0664],
       dtype=torch.float16)",380,11.859375,6.04296875,5.8359375,False,False,False
Belarus,Minsk,repeition,"Q: What is the repeition of Belarus?
A:",6512,353,3842,The,"tensor([ 5.0938, -5.0117,  2.0840,  ..., -4.9375, -4.8555, -5.0273],
       dtype=torch.float16)",380,11.890625,8.3203125,5.484375,False,False,False
Belgium,Brussels,repeition,"Q: What is the repeition of Belgium?
A:",22785,30167,3842,Belgium,"tensor([ 4.4727, -5.0938,  2.1074,  ..., -5.1094, -4.9570, -5.1484],
       dtype=torch.float16)",22785,12.3125,8.3515625,5.5859375,True,False,False
Belize,Belmopan,repeition,"Q: What is the repeition of Belize?
A:",6512,6512,3842,The,"tensor([ 4.8125, -4.9844,  2.1074,  ..., -4.9727, -4.8359, -5.0781],
       dtype=torch.float16)",380,11.6640625,11.6640625,5.76171875,False,False,False
Benin,Porto-Novo,repeition,"Q: What is the repeition of Benin?
A:",6029,6162,3842,The,"tensor([ 4.3359, -5.3359,  1.4297,  ..., -5.2266, -5.1875, -5.3398],
       dtype=torch.float16)",380,12.1015625,4.8203125,5.5,False,False,False
Bhutan,Thimphu,repeition,"Q: What is the repeition of Bhutan?
A:",26165,596,3842,Bh,"tensor([ 5.4453, -4.8789,  2.4180,  ..., -4.7969, -4.7227, -4.8828],
       dtype=torch.float16)",26165,13.5546875,8.1875,4.98828125,True,False,False
Bolivia,La Paz,repeition,"Q: What is the repeition of Bolivia?
A:",16001,3905,3842,The,"tensor([ 4.6992, -5.0312,  2.2246,  ..., -4.9297, -4.8984, -4.9805],
       dtype=torch.float16)",380,11.7890625,7.375,5.4609375,False,False,False
Bosnia and Herzegovina,Sarajevo,repeition,"Q: What is the repeition of Bosnia and Herzegovina?
A:",46795,9997,3842,The,"tensor([ 5.5078, -4.6094,  2.7773,  ..., -4.4141, -4.4180, -4.7266],
       dtype=torch.float16)",380,12.296875,8.1171875,5.265625,False,False,False
Botswana,Gaborone,repeition,"Q: What is the repeition of Botswana?
A:",378,443,3842,B,"tensor([ 5.4453, -4.9922,  2.1973,  ..., -4.8711, -4.8320, -4.9688],
       dtype=torch.float16)",378,13.2890625,8.671875,5.2109375,True,False,False
Brazil,Brasilia,repeition,"Q: What is the repeition of Brazil?
A:",10869,31574,3842,Brazil,"tensor([ 4.8281, -5.2422,  2.4121,  ..., -5.1328, -5.0547, -5.1211],
       dtype=torch.float16)",10869,12.859375,7.921875,5.3046875,True,False,False
Brunei,Bandar Seri Begawan,repeition,"Q: What is the repeition of Brunei?
A:",2652,16804,3842,Br,"tensor([ 4.7734, -5.3320,  1.8672,  ..., -5.1289, -5.0859, -5.2383],
       dtype=torch.float16)",2652,12.7109375,4.140625,5.96484375,True,False,False
Bulgaria,Sofia,repeition,"Q: What is the repeition of Bulgaria?
A:",43905,36104,3842,Bulgaria,"tensor([ 5.0742, -4.9492,  2.4336,  ..., -4.9062, -4.7578, -4.9180],
       dtype=torch.float16)",43905,12.90625,7.6484375,5.30078125,True,False,False
Burkina Faso,Ouagadougou,repeition,"Q: What is the repeition of Burkina Faso?
A:",45262,473,3842,Burk,"tensor([ 4.8047, -4.8008,  1.5312,  ..., -4.6328, -4.6172, -4.7500],
       dtype=torch.float16)",45262,13.1171875,8.3125,5.0703125,True,False,False
Burundi,Bujumbura,repeition,"Q: What is the repeition of Burundi?
A:",7634,378,3842,Bur,"tensor([ 4.6172, -4.5898,  1.8672,  ..., -4.4805, -4.4336, -4.6016],
       dtype=torch.float16)",7634,13.2265625,9.1015625,5.875,True,False,False
Cabo Verde,Praia,repeition,"Q: What is the repeition of Cabo Verde?
A:",15569,28340,3842,The,"tensor([ 4.8555, -5.0273,  2.0039,  ..., -4.8750, -4.8203, -4.9922],
       dtype=torch.float16)",380,12.6875,4.37890625,5.7578125,False,False,False
Cambodia,Phnom Penh,repeition,"Q: What is the repeition of Cambodia?
A:",41984,1777,3842,The,"tensor([ 4.7383, -4.9688,  1.6777,  ..., -4.8281, -4.7812, -4.9297],
       dtype=torch.float16)",380,11.734375,8.4140625,4.92578125,False,False,False
Cameroon,Yaounde,repeition,"Q: What is the repeition of Cameroon?
A:",6039,36523,3842,The,"tensor([ 4.6133, -5.1523,  1.8408,  ..., -4.9883, -4.9375, -5.0820],
       dtype=torch.float16)",380,12.1640625,5.421875,5.26953125,False,False,False
Canada,Ottawa,repeition,"Q: What is the repeition of Canada?
A:",6144,29539,3842,Canada,"tensor([ 5.4766, -4.8320,  2.4805,  ..., -4.7031, -4.5898, -4.8594],
       dtype=torch.float16)",6144,12.6875,7.30078125,6.7421875,True,False,False
Central African Republic,Bangui,repeition,"Q: What is the repeition of Central African Republic?
A:",8170,378,3842,The,"tensor([ 5.3594, -4.7070,  1.5625,  ..., -4.4492, -4.3789, -4.6250],
       dtype=torch.float16)",380,12.8984375,8.53125,4.140625,False,False,False
Chad,N'Djamena,repeition,"Q: What is the repeition of Chad?
A:",34884,427,3842,The,"tensor([ 4.4727, -4.9609,  1.2832,  ..., -4.7617, -4.6641, -4.8789],
       dtype=torch.float16)",380,11.1328125,7.8671875,5.81640625,False,False,False
Chile,Santiago,repeition,"Q: What is the repeition of Chile?
A:",22755,38436,3842,The,"tensor([ 4.5977, -4.9805,  2.3691,  ..., -4.8984, -4.8008, -4.9258],
       dtype=torch.float16)",380,12.0625,8.0703125,5.6875,False,False,False
China,Beijing,repeition,"Q: What is the repeition of China?
A:",4135,18496,3842,China,"tensor([ 4.9805, -5.4688,  2.2930,  ..., -5.1875, -5.1992, -5.2930],
       dtype=torch.float16)",4135,12.5390625,8.3671875,5.078125,True,False,False
Colombia,Bogotá,repeition,"Q: What is the repeition of Colombia?
A:",31003,27737,3842,The,"tensor([ 4.3672, -4.9375,  1.7461,  ..., -4.9180, -4.8633, -5.0039],
       dtype=torch.float16)",380,11.3359375,6.54296875,4.8046875,False,False,False
Comoros,Moroni,repeition,"Q: What is the repeition of Comoros?
A:",1176,4922,3842,The,"tensor([ 4.9766, -5.0703,  1.7666,  ..., -4.8477, -4.8945, -4.9961],
       dtype=torch.float16)",380,11.6328125,6.14453125,6.47265625,False,False,False
Congo,Kinshasa,repeition,"Q: What is the repeition of Congo?
A:",37642,611,3842,The,"tensor([ 4.7539, -4.9922,  1.7793,  ..., -4.8945, -4.7852, -4.9844],
       dtype=torch.float16)",380,11.2578125,7.9140625,4.88671875,False,False,False
Costa Rica,San José,repeition,"Q: What is the repeition of Costa Rica?
A:",26002,5003,3842,Costa,"tensor([ 5.1875, -5.0391,  2.1914,  ..., -5.0391, -4.9375, -5.0703],
       dtype=torch.float16)",26002,12.3515625,7.10546875,5.0703125,True,False,False
Cote d'Ivoire,Yamoussoukro,repeition,"Q: What is the repeition of Cote d'Ivoire?
A:",330,714,3842,The,"tensor([ 4.5625, -4.8477,  1.3975,  ..., -4.6797, -4.6875, -4.8086],
       dtype=torch.float16)",380,12.71875,5.984375,5.32421875,False,False,False
Croatia,Zagreb,repeition,"Q: What is the repeition of Croatia?
A:",42862,49524,3842,The,"tensor([ 5.1836, -5.0703,  2.6680,  ..., -4.9609, -4.8594, -5.0977],
       dtype=torch.float16)",380,12.1484375,6.703125,5.84765625,False,False,False
Cuba,Havana,repeition,"Q: What is the repeition of Cuba?
A:",24605,32977,3842,The,"tensor([ 4.9141, -4.4766,  2.5078,  ..., -4.3906, -4.2930, -4.4453],
       dtype=torch.float16)",380,12.609375,7.53125,5.2734375,False,False,False
Cyprus,Nicosia,repeition,"Q: What is the repeition of Cyprus?
A:",44637,12951,3842,The,"tensor([ 5.3047, -4.7344,  2.5078,  ..., -4.6562, -4.4961, -4.8789],
       dtype=torch.float16)",380,12.90625,7.07421875,5.11328125,False,False,False
Czech Republic,Prague,repeition,"Q: What is the repeition of Czech Republic?
A:",21647,41577,3842,Czech,"tensor([ 4.8633, -5.4609,  2.2402,  ..., -5.3516, -5.2969, -5.3477],
       dtype=torch.float16)",21647,12.0859375,8.3828125,5.5234375,True,False,False
