input,output,relation,prompt,intervention_layer,input_id,output_id,relation_id,prediction_id,input_logit,output_logit,relation_logit,prediction_logit,input_prediction,output_prediction,relation_prediction,input_token,output_token,relation_token,prediction_token
true,false,none,"Q: What is the none of true?
A:",,837,905,3276,578,8.4296875,11.2109375,7.453125,15.546875,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",0.0,837,905,3276,374,11.390625,9.796875,6.78515625,14.2109375,False,False,False,true,false,ant,is
true,false,none,"Q: What is the none of true?
A:",1.0,837,905,3276,220,8.6484375,7.9375,8.4140625,15.625,False,False,False,true,false,ant,
true,false,none,"Q: What is the none of true?
A:",2.0,837,905,3276,578,11.4140625,10.6953125,6.00390625,14.140625,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",3.0,837,905,3276,837,13.703125,11.1171875,7.76171875,13.703125,True,False,False,true,false,ant,true
true,false,none,"Q: What is the none of true?
A:",4.0,837,905,3276,358,10.7734375,8.6328125,6.640625,15.171875,False,False,False,true,false,ant,I
true,false,none,"Q: What is the none of true?
A:",5.0,837,905,3276,362,9.703125,9.1328125,7.44140625,15.140625,False,False,False,true,false,ant,A
true,false,none,"Q: What is the none of true?
A:",6.0,837,905,3276,578,10.3359375,9.640625,7.8671875,15.3203125,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",7.0,837,905,3276,578,9.453125,10.4453125,7.90625,15.6328125,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",8.0,837,905,3276,2290,10.3671875,10.9140625,8.1484375,15.46875,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",9.0,837,905,3276,2290,11.3125,13.6640625,9.296875,15.4453125,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",10.0,837,905,3276,2290,11.15625,12.9296875,9.9921875,15.2734375,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",11.0,837,905,3276,2290,10.8984375,12.765625,9.5703125,16.046875,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",12.0,837,905,3276,2290,9.7265625,12.6953125,10.0,16.515625,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",13.0,837,905,3276,578,9.9375,12.8515625,10.28125,15.9609375,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",14.0,837,905,3276,2290,8.7734375,12.078125,9.3046875,15.96875,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",15.0,837,905,3276,2290,8.921875,12.1796875,9.2109375,16.28125,False,False,False,true,false,ant,None
true,false,none,"Q: What is the none of true?
A:",16.0,837,905,3276,578,8.5546875,11.6484375,8.6328125,15.453125,False,False,False,true,false,ant,The
true,false,none,"Q: What is the none of true?
A:",17.0,837,905,3276,578,8.921875,11.28125,8.46875,15.390625,False,False,False,true,false,ant,The
