input,output,relation,prompt,input_id,output_id,relation_id,prediction,logits,prediction_id,input_logit,output_logit,relation_logit,input_prediction,output_prediction,relation_prediction
flawed,perfect,none,"Q: What is the none of flawed?
A:",48008,4832,7000,The,"tensor([ 4.8398,  3.6895,  2.7305,  ..., -4.4336, -4.4336, -4.4336],
       dtype=torch.float16)",578,9.25,8.2109375,13.5,False,False,False
orthodox,unorthodox,none,"Q: What is the none of orthodox?
A:",92342,653,7000,The,"tensor([ 4.9336,  3.5801,  2.8945,  ..., -4.4922, -4.4922, -4.4922],
       dtype=torch.float16)",578,10.6953125,8.8203125,13.109375,False,False,False
true,false,none,"Q: What is the none of true?
A:",837,905,7000,The,"tensor([ 3.4668,  2.8359,  2.4531,  ..., -4.0039, -4.0039, -4.0039],
       dtype=torch.float16)",578,8.4296875,11.2109375,12.4140625,False,False,False
daily,nightly,none,"Q: What is the none of daily?
A:",7446,75860,7000,The,"tensor([ 4.6562,  3.2500,  2.6719,  ..., -4.0625, -4.0625, -4.0625],
       dtype=torch.float16)",578,12.34375,6.95703125,14.2109375,False,False,False
distribution,concentration,none,"Q: What is the none of distribution?
A:",8141,20545,7000,The,"tensor([ 5.6953,  3.2754,  3.5332,  ..., -4.0664, -4.0664, -4.0664],
       dtype=torch.float16)",578,12.109375,5.62109375,14.4921875,False,False,False
valid,invalid,none,"Q: What is the none of valid?
A:",2764,8482,7000,The,"tensor([ 2.7383,  1.8008,  1.6191,  ..., -3.9219, -3.9199, -3.9219],
       dtype=torch.float16)",578,10.921875,10.7890625,13.5703125,False,False,False
expand,contract,none,"Q: What is the none of expand?
A:",9407,5226,7000,The,"tensor([ 4.3750,  2.5020,  2.2148,  ..., -4.5000, -4.5000, -4.5000],
       dtype=torch.float16)",578,11.2109375,7.63671875,14.03125,False,False,False
practical,impractical,none,"Q: What is the none of practical?
A:",15325,23356,7000,The,"tensor([ 4.3672,  3.1426,  2.6699,  ..., -4.3672, -4.3672, -4.3672],
       dtype=torch.float16)",578,10.6796875,6.96484375,13.0078125,False,False,False
privilege,disadvantage,none,"Q: What is the none of privilege?
A:",26632,49836,7000,The,"tensor([ 4.9375,  4.4062,  3.6836,  ..., -3.2500, -3.2500, -3.2500],
       dtype=torch.float16)",578,11.578125,3.91015625,13.09375,False,False,False
mammoth,tiny,none,"Q: What is the none of mammoth?
A:",33820,13987,7000,The,"tensor([ 4.2305,  2.0801,  2.3047,  ..., -4.5078, -4.5078, -4.5078],
       dtype=torch.float16)",578,12.75,6.69140625,13.5703125,False,False,False
unrelated,related,none,"Q: What is the none of unrelated?
A:",46305,5552,7000,The,"tensor([ 3.6777,  3.0098,  2.5352,  ..., -4.1797, -4.1797, -4.1797],
       dtype=torch.float16)",578,11.7109375,10.453125,13.546875,False,False,False
overnight,daytime,none,"Q: What is the none of overnight?
A:",25402,62182,7000,The,"tensor([ 4.7500,  3.5684,  2.7520,  ..., -4.0586, -4.0586, -4.0586],
       dtype=torch.float16)",578,12.7421875,7.0,13.390625,False,False,False
other,same,none,"Q: What is the none of other?
A:",1023,1890,7000,The,"tensor([ 5.2344,  3.6855,  3.6465,  ..., -3.3555, -3.3555, -3.3555],
       dtype=torch.float16)",578,9.28125,8.25,12.984375,False,False,False
square,circle,none,"Q: What is the none of square?
A:",9518,12960,7000,The,"tensor([ 4.2891,  1.8428,  2.6777,  ..., -4.8125, -4.8125, -4.8125],
       dtype=torch.float16)",578,13.2578125,10.234375,14.4609375,False,False,False
hollow,solid,none,"Q: What is the none of hollow?
A:",42902,6573,7000,The,"tensor([ 4.4023,  3.2910,  2.7988,  ..., -4.5977, -4.5977, -4.5977],
       dtype=torch.float16)",578,12.9609375,9.421875,13.9140625,False,False,False
difficult,easy,none,"Q: What is the none of difficult?
A:",5107,4228,7000,The,"tensor([ 4.5742,  2.7656,  2.6738,  ..., -4.2383, -4.2383, -4.2383],
       dtype=torch.float16)",578,11.1953125,8.8984375,13.203125,False,False,False
luxury,poverty,none,"Q: What is the none of luxury?
A:",19913,19542,7000,The,"tensor([ 4.5234,  3.7871,  3.8770,  ..., -4.1523, -4.1523, -4.1523],
       dtype=torch.float16)",578,12.015625,6.671875,13.4296875,False,False,False
stimulate,inhibit,none,"Q: What is the none of stimulate?
A:",51077,69033,7000,The,"tensor([ 3.1152,  2.6348,  1.6836,  ..., -4.5977, -4.5977, -4.5977],
       dtype=torch.float16)",578,9.421875,6.86328125,13.4921875,False,False,False
